Created as New Dataset,
nm,A
800.0,0.0067
799.9,0.0064
799.8,0.0074
799.7,0.0065
799.6,0.0066
799.5,0.0066
799.4,0.0069
799.3,0.0078
799.2,0.0067
799.1,0.0061
799.0,0.0076
798.9,0.0049
798.8,0.0071
798.7,0.0081
798.6,0.0063
798.5,0.0062
798.4,0.0074
798.3,0.0076
798.2,0.0073
798.1,0.0065
798.0,0.0074
797.9,0.0061
797.8,0.0071
797.7,0.0058
797.6,0.0064
797.5,0.0072
797.4,0.0070
797.3,0.0073
797.2,0.0081
797.1,0.0074
797.0,0.0068
796.9,0.0054
796.8,0.0062
796.7,0.0065
796.6,0.0079
796.5,0.0076
796.4,0.0086
796.3,0.0066
796.2,0.0068
796.1,0.0078
796.0,0.0078
795.9,0.0076
795.8,0.0073
795.7,0.0077
795.6,0.0078
795.5,0.0061
795.4,0.0058
795.3,0.0069
795.2,0.0072
795.1,0.0077
795.0,0.0076
794.9,0.0077
794.8,0.0069
794.7,0.0075
794.6,0.0078
794.5,0.0079
794.4,0.0070
794.3,0.0075
794.2,0.0079
794.1,0.0071
794.0,0.0076
793.9,0.0079
793.8,0.0073
793.7,0.0068
793.6,0.0073
793.5,0.0066
793.4,0.0063
793.3,0.0067
793.2,0.0074
793.1,0.0077
793.0,0.0069
792.9,0.0077
792.8,0.0083
792.7,0.0075
792.6,0.0066
792.5,0.0068
792.4,0.0070
792.3,0.0065
792.2,0.0074
792.1,0.0077
792.0,0.0072
791.9,0.0072
791.8,0.0066
791.7,0.0065
791.6,0.0074
791.5,0.0070
791.4,0.0070
791.3,0.0072
791.2,0.0078
791.1,0.0073
791.0,0.0073
790.9,0.0065
790.8,0.0067
790.7,0.0078
790.6,0.0080
790.5,0.0074
790.4,0.0068
790.3,0.0076
790.2,0.0081
790.1,0.0076
790.0,0.0077
789.9,0.0074
789.8,0.0072
789.7,0.0068
789.6,0.0061
789.5,0.0065
789.4,0.0074
789.3,0.0073
789.2,0.0073
789.1,0.0077
789.0,0.0081
788.9,0.0070
788.8,0.0062
788.7,0.0070
788.6,0.0074
788.5,0.0072
788.4,0.0072
788.3,0.0078
788.2,0.0075
788.1,0.0065
788.0,0.0071
787.9,0.0078
787.8,0.0079
787.7,0.0076
787.6,0.0073
787.5,0.0078
787.4,0.0076
787.3,0.0072
787.2,0.0071
787.1,0.0072
787.0,0.0076
786.9,0.0072
786.8,0.0071
786.7,0.0072
786.6,0.0068
786.5,0.0069
786.4,0.0079
786.3,0.0084
786.2,0.0074
786.1,0.0067
786.0,0.0071
785.9,0.0076
785.8,0.0069
785.7,0.0061
785.6,0.0066
785.5,0.0074
785.4,0.0074
785.3,0.0075
785.2,0.0069
785.1,0.0073
785.0,0.0068
784.9,0.0067
784.8,0.0071
784.7,0.0059
784.6,0.0071
784.5,0.0074
784.4,0.0076
784.3,0.0074
784.2,0.0069
784.1,0.0076
784.0,0.0083
783.9,0.0081
783.8,0.0073
783.7,0.0071
783.6,0.0068
783.5,0.0062
783.4,0.0064
783.3,0.0069
783.2,0.0081
783.1,0.0074
783.0,0.0079
782.9,0.0067
782.8,0.0066
782.7,0.0067
782.6,0.0074
782.5,0.0077
782.4,0.0073
782.3,0.0075
782.2,0.0074
782.1,0.0069
782.0,0.0075
781.9,0.0079
781.8,0.0088
781.7,0.0070
781.6,0.0065
781.5,0.0064
781.4,0.0073
781.3,0.0078
781.2,0.0069
781.1,0.0068
781.0,0.0069
780.9,0.0073
780.8,0.0071
780.7,0.0073
780.6,0.0074
780.5,0.0079
780.4,0.0069
780.3,0.0068
780.2,0.0065
780.1,0.0077
780.0,0.0067
779.9,0.0080
779.8,0.0081
779.7,0.0068
779.6,0.0066
779.5,0.0078
779.4,0.0074
779.3,0.0080
779.2,0.0075
779.1,0.0076
779.0,0.0073
778.9,0.0074
778.8,0.0073
778.7,0.0074
778.6,0.0070
778.5,0.0075
778.4,0.0076
778.3,0.0076
778.2,0.0070
778.1,0.0073
778.0,0.0073
777.9,0.0078
777.8,0.0071
777.7,0.0069
777.6,0.0081
777.5,0.0075
777.4,0.0088
777.3,0.0077
777.2,0.0072
777.1,0.0082
777.0,0.0084
776.9,0.0082
776.8,0.0079
776.7,0.0077
776.6,0.0083
776.5,0.0073
776.4,0.0071
776.3,0.0068
776.2,0.0075
776.1,0.0072
776.0,0.0075
775.9,0.0068
775.8,0.0084
775.7,0.0082
775.6,0.0068
775.5,0.0072
775.4,0.0079
775.3,0.0075
775.2,0.0081
775.1,0.0072
775.0,0.0072
774.9,0.0080
774.8,0.0068
774.7,0.0072
774.6,0.0090
774.5,0.0081
774.4,0.0069
774.3,0.0080
774.2,0.0074
774.1,0.0083
774.0,0.0073
773.9,0.0067
773.8,0.0079
773.7,0.0078
773.6,0.0074
773.5,0.0068
773.4,0.0076
773.3,0.0076
773.2,0.0079
773.1,0.0075
773.0,0.0077
772.9,0.0072
772.8,0.0072
772.7,0.0070
772.6,0.0078
772.5,0.0075
772.4,0.0073
772.3,0.0072
772.2,0.0071
772.1,0.0075
772.0,0.0081
771.9,0.0069
771.8,0.0081
771.7,0.0076
771.6,0.0076
771.5,0.0080
771.4,0.0069
771.3,0.0076
771.2,0.0073
771.1,0.0081
771.0,0.0076
770.9,0.0077
770.8,0.0074
770.7,0.0074
770.6,0.0080
770.5,0.0077
770.4,0.0069
770.3,0.0073
770.2,0.0076
770.1,0.0084
770.0,0.0085
769.9,0.0077
769.8,0.0073
769.7,0.0074
769.6,0.0070
769.5,0.0079
769.4,0.0081
769.3,0.0079
769.2,0.0077
769.1,0.0079
769.0,0.0083
768.9,0.0081
768.8,0.0082
768.7,0.0077
768.6,0.0075
768.5,0.0075
768.4,0.0078
768.3,0.0075
768.2,0.0070
768.1,0.0075
768.0,0.0075
767.9,0.0071
767.8,0.0067
767.7,0.0073
767.6,0.0071
767.5,0.0074
767.4,0.0087
767.3,0.0081
767.2,0.0076
767.1,0.0073
767.0,0.0070
766.9,0.0073
766.8,0.0077
766.7,0.0078
766.6,0.0079
766.5,0.0078
766.4,0.0078
766.3,0.0081
766.2,0.0073
766.1,0.0074
766.0,0.0077
765.9,0.0076
765.8,0.0074
765.7,0.0070
765.6,0.0071
765.5,0.0076
765.4,0.0082
765.3,0.0087
765.2,0.0087
765.1,0.0080
765.0,0.0078
764.9,0.0079
764.8,0.0080
764.7,0.0084
764.6,0.0081
764.5,0.0077
764.4,0.0079
764.3,0.0079
764.2,0.0077
764.1,0.0077
764.0,0.0076
763.9,0.0069
763.8,0.0073
763.7,0.0076
763.6,0.0070
763.5,0.0074
763.4,0.0082
763.3,0.0085
763.2,0.0086
763.1,0.0079
763.0,0.0078
762.9,0.0079
762.8,0.0085
762.7,0.0088
762.6,0.0082
762.5,0.0081
762.4,0.0084
762.3,0.0083
762.2,0.0080
762.1,0.0077
762.0,0.0083
761.9,0.0081
761.8,0.0078
761.7,0.0077
761.6,0.0080
761.5,0.0087
761.4,0.0082
761.3,0.0084
761.2,0.0081
761.1,0.0080
761.0,0.0085
760.9,0.0075
760.8,0.0083
760.7,0.0076
760.6,0.0072
760.5,0.0077
760.4,0.0074
760.3,0.0075
