Created as New Dataset,
nm,A
800.0,0.0002
799.9,-0.0008
799.8,0.0009
799.7,-0.0002
799.6,0.0009
799.5,0.0002
799.4,-0.0008
799.3,0.0004
799.2,-0.0004
799.1,-0.0008
799.0,-0.0003
798.9,-0.0019
798.8,-0.0001
798.7,0.0002
798.6,0.0000
798.5,-0.0010
798.4,0.0008
798.3,-0.0001
798.2,0.0007
798.1,0.0002
798.0,0.0003
797.9,-0.0008
797.8,0.0012
797.7,0.0005
797.6,-0.0002
797.5,-0.0005
797.4,-0.0001
797.3,0.0006
797.2,0.0008
797.1,0.0014
797.0,0.0005
796.9,-0.0005
796.8,-0.0002
796.7,0.0010
796.6,0.0005
796.5,0.0010
796.4,-0.0000
796.3,0.0004
796.2,-0.0008
796.1,-0.0006
796.0,0.0007
795.9,0.0005
795.8,0.0002
795.7,0.0009
795.6,-0.0006
795.5,0.0002
795.4,0.0008
795.3,0.0007
795.2,-0.0000
795.1,0.0002
795.0,0.0003
794.9,0.0003
794.8,-0.0002
794.7,0.0003
794.6,0.0009
794.5,0.0006
794.4,-0.0001
794.3,0.0011
794.2,0.0006
794.1,0.0002
794.0,0.0001
793.9,0.0013
793.8,0.0002
793.7,-0.0002
793.6,0.0013
793.5,-0.0002
793.4,-0.0008
793.3,0.0000
793.2,0.0010
793.1,0.0008
793.0,-0.0002
792.9,-0.0006
792.8,-0.0000
792.7,0.0001
792.6,0.0005
792.5,-0.0003
792.4,-0.0001
792.3,0.0003
792.2,0.0007
792.1,0.0005
792.0,0.0002
791.9,0.0004
791.8,0.0008
791.7,0.0000
791.6,-0.0000
791.5,-0.0003
791.4,-0.0007
791.3,-0.0007
791.2,-0.0005
791.1,0.0001
791.0,0.0008
790.9,0.0007
790.8,0.0006
790.7,0.0012
790.6,0.0009
790.5,0.0005
790.4,0.0005
790.3,0.0008
790.2,0.0007
790.1,0.0005
790.0,0.0006
789.9,-0.0002
789.8,-0.0002
789.7,-0.0002
789.6,-0.0004
789.5,0.0004
789.4,0.0004
789.3,-0.0000
789.2,0.0001
789.1,0.0009
789.0,0.0011
788.9,-0.0002
788.8,0.0000
788.7,0.0002
788.6,-0.0003
788.5,-0.0001
788.4,0.0002
788.3,-0.0000
788.2,-0.0008
788.1,-0.0007
788.0,-0.0001
787.9,-0.0002
787.8,0.0006
787.7,0.0006
787.6,-0.0005
787.5,0.0000
787.4,0.0006
787.3,0.0004
787.2,0.0003
787.1,0.0004
787.0,0.0010
786.9,0.0013
786.8,0.0007
786.7,0.0007
786.6,-0.0000
786.5,0.0001
786.4,-0.0002
786.3,-0.0000
786.2,0.0004
786.1,0.0006
786.0,0.0003
785.9,0.0004
785.8,0.0004
785.7,-0.0008
785.6,-0.0004
785.5,0.0002
785.4,-0.0002
785.3,0.0003
785.2,0.0001
785.1,0.0007
785.0,0.0003
784.9,0.0009
784.8,0.0008
784.7,-0.0001
784.6,-0.0001
784.5,0.0005
784.4,0.0012
784.3,0.0011
784.2,0.0003
784.1,0.0005
784.0,0.0003
783.9,0.0010
783.8,0.0014
783.7,0.0005
783.6,0.0001
783.5,0.0005
783.4,0.0013
783.3,0.0007
783.2,0.0004
783.1,0.0004
783.0,0.0011
782.9,0.0001
782.8,-0.0000
782.7,0.0003
782.6,0.0004
782.5,0.0010
782.4,0.0007
782.3,0.0002
782.2,0.0001
782.1,-0.0000
782.0,0.0010
781.9,0.0010
781.8,0.0013
781.7,0.0005
781.6,-0.0004
781.5,0.0005
781.4,0.0001
781.3,0.0010
781.2,-0.0005
781.1,0.0007
781.0,0.0006
780.9,-0.0003
780.8,0.0006
780.7,0.0006
780.6,0.0009
780.5,0.0007
780.4,0.0007
780.3,0.0002
780.2,-0.0002
780.1,0.0009
780.0,0.0011
779.9,0.0009
779.8,0.0008
779.7,-0.0005
779.6,0.0001
779.5,0.0003
779.4,0.0001
779.3,-0.0005
