Created as New Dataset,
nm,A
800.0,0.0070
799.9,0.0071
799.8,0.0066
799.7,0.0070
799.6,0.0079
799.5,0.0062
799.4,0.0070
799.3,0.0071
799.2,0.0073
799.1,0.0061
799.0,0.0082
798.9,0.0056
798.8,0.0070
798.7,0.0073
798.6,0.0071
798.5,0.0054
798.4,0.0075
798.3,0.0070
798.2,0.0074
798.1,0.0075
798.0,0.0070
797.9,0.0063
797.8,0.0073
797.7,0.0067
797.6,0.0065
797.5,0.0073
797.4,0.0070
797.3,0.0062
797.2,0.0077
797.1,0.0067
797.0,0.0069
796.9,0.0065
796.8,0.0070
796.7,0.0075
796.6,0.0070
796.5,0.0069
796.4,0.0075
796.3,0.0065
796.2,0.0055
796.1,0.0065
796.0,0.0072
795.9,0.0070
795.8,0.0070
795.7,0.0068
795.6,0.0077
795.5,0.0068
795.4,0.0061
795.3,0.0068
795.2,0.0072
795.1,0.0081
795.0,0.0077
794.9,0.0073
794.8,0.0074
794.7,0.0075
794.6,0.0073
794.5,0.0075
794.4,0.0069
794.3,0.0079
794.2,0.0066
794.1,0.0064
794.0,0.0072
793.9,0.0080
793.8,0.0076
793.7,0.0070
793.6,0.0065
793.5,0.0056
793.4,0.0057
793.3,0.0063
793.2,0.0076
793.1,0.0073
793.0,0.0066
792.9,0.0066
792.8,0.0076
792.7,0.0072
792.6,0.0075
792.5,0.0070
792.4,0.0065
792.3,0.0063
792.2,0.0074
792.1,0.0073
792.0,0.0072
791.9,0.0074
791.8,0.0065
791.7,0.0064
791.6,0.0063
791.5,0.0061
791.4,0.0063
791.3,0.0066
791.2,0.0069
791.1,0.0073
791.0,0.0070
790.9,0.0065
790.8,0.0068
790.7,0.0071
790.6,0.0074
790.5,0.0073
790.4,0.0073
790.3,0.0083
790.2,0.0081
790.1,0.0072
790.0,0.0075
789.9,0.0068
789.8,0.0062
789.7,0.0068
789.6,0.0072
789.5,0.0078
789.4,0.0071
789.3,0.0062
789.2,0.0066
789.1,0.0077
789.0,0.0080
788.9,0.0068
788.8,0.0066
788.7,0.0074
788.6,0.0074
788.5,0.0068
788.4,0.0063
788.3,0.0067
788.2,0.0064
788.1,0.0062
788.0,0.0065
787.9,0.0068
787.8,0.0073
787.7,0.0079
787.6,0.0072
787.5,0.0072
787.4,0.0074
787.3,0.0071
787.2,0.0068
787.1,0.0067
787.0,0.0075
786.9,0.0074
786.8,0.0073
786.7,0.0067
786.6,0.0068
786.5,0.0070
786.4,0.0073
786.3,0.0072
786.2,0.0066
786.1,0.0069
786.0,0.0064
785.9,0.0070
785.8,0.0073
785.7,0.0062
785.6,0.0067
785.5,0.0073
785.4,0.0064
785.3,0.0068
785.2,0.0070
785.1,0.0067
785.0,0.0064
784.9,0.0070
784.8,0.0077
784.7,0.0057
784.6,0.0066
784.5,0.0073
784.4,0.0076
784.3,0.0076
784.2,0.0071
784.1,0.0075
784.0,0.0077
783.9,0.0076
783.8,0.0072
783.7,0.0077
783.6,0.0071
783.5,0.0069
783.4,0.0073
783.3,0.0074
783.2,0.0067
783.1,0.0072
783.0,0.0077
782.9,0.0070
782.8,0.0069
782.7,0.0072
782.6,0.0070
782.5,0.0076
782.4,0.0079
782.3,0.0079
782.2,0.0074
782.1,0.0068
782.0,0.0077
781.9,0.0072
781.8,0.0078
781.7,0.0072
781.6,0.0070
781.5,0.0062
781.4,0.0071
781.3,0.0073
781.2,0.0065
781.1,0.0068
781.0,0.0067
780.9,0.0067
780.8,0.0063
780.7,0.0066
780.6,0.0074
780.5,0.0074
780.4,0.0067
780.3,0.0066
780.2,0.0067
780.1,0.0076
780.0,0.0073
779.9,0.0081
779.8,0.0075
779.7,0.0071
779.6,0.0065
779.5,0.0065
779.4,0.0072
779.3,0.0076
779.2,0.0077
779.1,0.0068
779.0,0.0078
778.9,0.0078
778.8,0.0069
778.7,0.0073
778.6,0.0068
778.5,0.0069
778.4,0.0070
778.3,0.0082
778.2,0.0078
778.1,0.0077
778.0,0.0074
777.9,0.0077
777.8,0.0070
777.7,0.0070
777.6,0.0075
777.5,0.0065
777.4,0.0077
777.3,0.0083
777.2,0.0076
777.1,0.0078
777.0,0.0066
776.9,0.0075
776.8,0.0075
776.7,0.0076
776.6,0.0077
776.5,0.0069
776.4,0.0074
776.3,0.0064
776.2,0.0068
776.1,0.0060
776.0,0.0075
775.9,0.0075
775.8,0.0092
775.7,0.0076
775.6,0.0059
775.5,0.0070
775.4,0.0072
775.3,0.0080
775.2,0.0072
775.1,0.0071
775.0,0.0069
774.9,0.0080
774.8,0.0069
774.7,0.0076
774.6,0.0080
774.5,0.0082
