Created as New Dataset,
nm,A
800.0,0.0080
799.9,0.0068
799.8,0.0079
799.7,0.0072
799.6,0.0078
799.5,0.0079
799.4,0.0078
799.3,0.0089
799.2,0.0078
799.1,0.0067
799.0,0.0080
798.9,0.0057
798.8,0.0072
798.7,0.0078
798.6,0.0076
798.5,0.0067
798.4,0.0085
798.3,0.0083
798.2,0.0080
798.1,0.0080
798.0,0.0078
797.9,0.0076
797.8,0.0096
797.7,0.0080
797.6,0.0079
797.5,0.0070
797.4,0.0081
797.3,0.0077
797.2,0.0091
797.1,0.0086
797.0,0.0080
796.9,0.0066
796.8,0.0077
796.7,0.0085
796.6,0.0089
796.5,0.0087
796.4,0.0086
796.3,0.0076
796.2,0.0072
796.1,0.0083
796.0,0.0088
795.9,0.0086
795.8,0.0075
795.7,0.0078
795.6,0.0078
795.5,0.0075
795.4,0.0069
795.3,0.0079
795.2,0.0082
795.1,0.0077
795.0,0.0077
794.9,0.0084
794.8,0.0078
794.7,0.0074
794.6,0.0075
794.5,0.0072
794.4,0.0077
794.3,0.0081
794.2,0.0078
794.1,0.0072
794.0,0.0079
793.9,0.0083
793.8,0.0076
793.7,0.0082
793.6,0.0083
793.5,0.0073
793.4,0.0063
793.3,0.0073
793.2,0.0077
793.1,0.0086
793.0,0.0081
792.9,0.0079
792.8,0.0076
792.7,0.0079
792.6,0.0085
792.5,0.0080
792.4,0.0081
792.3,0.0078
792.2,0.0082
792.1,0.0079
792.0,0.0083
791.9,0.0080
791.8,0.0077
791.7,0.0073
791.6,0.0076
791.5,0.0073
791.4,0.0069
791.3,0.0073
791.2,0.0082
791.1,0.0081
791.0,0.0080
790.9,0.0075
790.8,0.0076
790.7,0.0084
790.6,0.0083
790.5,0.0074
790.4,0.0078
790.3,0.0088
790.2,0.0087
790.1,0.0085
790.0,0.0084
789.9,0.0076
789.8,0.0073
789.7,0.0076
789.6,0.0076
789.5,0.0081
789.4,0.0084
789.3,0.0081
789.2,0.0079
789.1,0.0084
789.0,0.0090
788.9,0.0080
788.8,0.0077
788.7,0.0078
788.6,0.0074
788.5,0.0078
788.4,0.0081
788.3,0.0079
788.2,0.0076
788.1,0.0077
788.0,0.0082
787.9,0.0078
787.8,0.0075
787.7,0.0078
787.6,0.0080
787.5,0.0083
787.4,0.0084
787.3,0.0082
787.2,0.0081
787.1,0.0080
787.0,0.0085
786.9,0.0086
786.8,0.0079
786.7,0.0073
786.6,0.0069
786.5,0.0074
786.4,0.0081
786.3,0.0081
786.2,0.0081
786.1,0.0082
786.0,0.0077
785.9,0.0078
785.8,0.0078
785.7,0.0067
785.6,0.0071
785.5,0.0078
785.4,0.0079
785.3,0.0086
785.2,0.0074
785.1,0.0078
785.0,0.0077
784.9,0.0078
784.8,0.0078
784.7,0.0069
784.6,0.0080
784.5,0.0080
784.4,0.0087
784.3,0.0081
784.2,0.0080
784.1,0.0084
784.0,0.0080
783.9,0.0080
783.8,0.0090
783.7,0.0084
783.6,0.0078
783.5,0.0073
783.4,0.0085
783.3,0.0080
783.2,0.0078
783.1,0.0082
783.0,0.0079
782.9,0.0070
782.8,0.0073
782.7,0.0075
782.6,0.0077
782.5,0.0080
782.4,0.0076
782.3,0.0082
782.2,0.0083
782.1,0.0078
782.0,0.0086
781.9,0.0086
781.8,0.0087
781.7,0.0076
781.6,0.0076
781.5,0.0077
781.4,0.0075
781.3,0.0080
781.2,0.0078
781.1,0.0076
781.0,0.0074
780.9,0.0076
780.8,0.0078
780.7,0.0083
780.6,0.0083
780.5,0.0090
780.4,0.0075
780.3,0.0071
780.2,0.0072
780.1,0.0080
780.0,0.0085
779.9,0.0090
779.8,0.0082
779.7,0.0074
779.6,0.0084
779.5,0.0082
779.4,0.0082
779.3,0.0077
779.2,0.0089
779.1,0.0075
779.0,0.0084
778.9,0.0088
778.8,0.0085
778.7,0.0082
778.6,0.0072
778.5,0.0083
778.4,0.0082
778.3,0.0075
778.2,0.0082
778.1,0.0078
778.0,0.0081
777.9,0.0084
777.8,0.0084
777.7,0.0081
777.6,0.0079
777.5,0.0076
777.4,0.0084
777.3,0.0087
777.2,0.0083
777.1,0.0082
777.0,0.0084
776.9,0.0091
776.8,0.0082
776.7,0.0088
776.6,0.0086
776.5,0.0070
776.4,0.0081
776.3,0.0075
776.2,0.0075
776.1,0.0075
776.0,0.0083
775.9,0.0081
775.8,0.0089
775.7,0.0079
775.6,0.0070
775.5,0.0077
775.4,0.0076
775.3,0.0089
775.2,0.0091
775.1,0.0081
775.0,0.0088
774.9,0.0080
774.8,0.0079
774.7,0.0080
774.6,0.0091
774.5,0.0084
774.4,0.0080
774.3,0.0084
774.2,0.0083
774.1,0.0094
774.0,0.0086
773.9,0.0082
773.8,0.0084
773.7,0.0086
773.6,0.0076
773.5,0.0080
773.4,0.0080
773.3,0.0079
773.2,0.0082
773.1,0.0088
773.0,0.0083
772.9,0.0081
772.8,0.0083
772.7,0.0076
772.6,0.0077
772.5,0.0075
772.4,0.0077
772.3,0.0081
772.2,0.0079
772.1,0.0083
772.0,0.0086
771.9,0.0073
771.8,0.0088
771.7,0.0082
771.6,0.0077
771.5,0.0089
771.4,0.0081
771.3,0.0078
771.2,0.0077
771.1,0.0082
771.0,0.0083
770.9,0.0081
770.8,0.0079
770.7,0.0085
770.6,0.0085
770.5,0.0083
770.4,0.0076
770.3,0.0078
770.2,0.0078
770.1,0.0083
770.0,0.0091
769.9,0.0081
769.8,0.0083
769.7,0.0088
769.6,0.0073
769.5,0.0082
769.4,0.0087
769.3,0.0081
769.2,0.0091
769.1,0.0093
769.0,0.0084
768.9,0.0078
768.8,0.0086
768.7,0.0087
768.6,0.0083
768.5,0.0081
768.4,0.0080
768.3,0.0081
768.2,0.0078
768.1,0.0083
768.0,0.0086
767.9,0.0080
767.8,0.0074
767.7,0.0081
767.6,0.0084
767.5,0.0082
767.4,0.0088
767.3,0.0084
767.2,0.0084
767.1,0.0080
767.0,0.0075
766.9,0.0080
766.8,0.0088
766.7,0.0082
766.6,0.0077
766.5,0.0079
766.4,0.0080
766.3,0.0084
766.2,0.0079
766.1,0.0079
766.0,0.0078
765.9,0.0076
765.8,0.0081
765.7,0.0080
765.6,0.0079
765.5,0.0082
765.4,0.0085
765.3,0.0091
