Created as New Dataset,
nm,A
800.0,0.0083
799.9,0.0062
799.8,0.0067
799.7,0.0062
799.6,0.0076
799.5,0.0071
799.4,0.0080
799.3,0.0079
799.2,0.0080
799.1,0.0062
799.0,0.0079
798.9,0.0063
798.8,0.0074
798.7,0.0074
798.6,0.0066
798.5,0.0057
798.4,0.0078
798.3,0.0075
798.2,0.0079
798.1,0.0068
798.0,0.0065
797.9,0.0061
797.8,0.0078
797.7,0.0070
797.6,0.0067
797.5,0.0075
797.4,0.0075
797.3,0.0079
797.2,0.0083
797.1,0.0079
797.0,0.0077
796.9,0.0066
796.8,0.0070
796.7,0.0078
796.6,0.0078
796.5,0.0074
796.4,0.0084
796.3,0.0075
796.2,0.0073
796.1,0.0077
796.0,0.0077
795.9,0.0077
795.8,0.0079
795.7,0.0070
795.6,0.0068
795.5,0.0063
795.4,0.0062
795.3,0.0072
795.2,0.0078
795.1,0.0074
795.0,0.0081
794.9,0.0078
794.8,0.0069
794.7,0.0077
794.6,0.0082
794.5,0.0076
794.4,0.0072
794.3,0.0085
794.2,0.0081
794.1,0.0075
794.0,0.0070
793.9,0.0081
793.8,0.0083
793.7,0.0079
793.6,0.0075
793.5,0.0069
793.4,0.0063
793.3,0.0068
793.2,0.0073
793.1,0.0078
793.0,0.0077
792.9,0.0077
792.8,0.0073
792.7,0.0074
792.6,0.0075
792.5,0.0066
792.4,0.0071
792.3,0.0072
792.2,0.0076
792.1,0.0076
792.0,0.0073
791.9,0.0075
791.8,0.0072
791.7,0.0072
791.6,0.0072
791.5,0.0061
791.4,0.0069
791.3,0.0076
791.2,0.0080
791.1,0.0079
791.0,0.0078
790.9,0.0075
790.8,0.0076
790.7,0.0080
790.6,0.0078
790.5,0.0075
790.4,0.0070
790.3,0.0072
790.2,0.0085
790.1,0.0088
790.0,0.0078
789.9,0.0067
789.8,0.0070
789.7,0.0074
789.6,0.0070
789.5,0.0080
789.4,0.0079
789.3,0.0074
789.2,0.0078
789.1,0.0087
789.0,0.0084
788.9,0.0070
788.8,0.0072
788.7,0.0078
788.6,0.0074
788.5,0.0075
788.4,0.0072
788.3,0.0075
788.2,0.0074
788.1,0.0067
788.0,0.0072
787.9,0.0070
787.8,0.0073
787.7,0.0079
787.6,0.0075
787.5,0.0073
787.4,0.0078
787.3,0.0078
787.2,0.0080
787.1,0.0076
787.0,0.0076
786.9,0.0078
786.8,0.0078
786.7,0.0069
786.6,0.0068
786.5,0.0072
786.4,0.0069
786.3,0.0072
786.2,0.0077
786.1,0.0074
786.0,0.0073
785.9,0.0079
785.8,0.0074
785.7,0.0068
785.6,0.0074
785.5,0.0073
785.4,0.0072
785.3,0.0074
785.2,0.0062
785.1,0.0068
785.0,0.0063
784.9,0.0073
784.8,0.0081
784.7,0.0072
784.6,0.0071
784.5,0.0071
784.4,0.0076
784.3,0.0077
784.2,0.0081
784.1,0.0077
784.0,0.0069
783.9,0.0076
783.8,0.0084
783.7,0.0073
783.6,0.0076
783.5,0.0074
783.4,0.0075
783.3,0.0079
783.2,0.0087
783.1,0.0080
783.0,0.0078
782.9,0.0073
782.8,0.0075
782.7,0.0065
782.6,0.0075
782.5,0.0081
782.4,0.0076
782.3,0.0082
782.2,0.0074
782.1,0.0071
782.0,0.0075
781.9,0.0088
781.8,0.0090
781.7,0.0072
781.6,0.0071
781.5,0.0066
781.4,0.0074
781.3,0.0083
781.2,0.0070
781.1,0.0066
781.0,0.0076
780.9,0.0079
780.8,0.0078
780.7,0.0072
780.6,0.0081
780.5,0.0075
780.4,0.0072
780.3,0.0067
780.2,0.0066
780.1,0.0079
780.0,0.0082
779.9,0.0081
779.8,0.0078
779.7,0.0069
779.6,0.0073
779.5,0.0076
779.4,0.0084
779.3,0.0077
779.2,0.0077
779.1,0.0081
779.0,0.0080
778.9,0.0079
778.8,0.0077
778.7,0.0076
778.6,0.0069
778.5,0.0073
778.4,0.0073
778.3,0.0079
778.2,0.0087
778.1,0.0079
778.0,0.0082
777.9,0.0072
777.8,0.0074
777.7,0.0068
777.6,0.0082
777.5,0.0071
777.4,0.0085
777.3,0.0080
777.2,0.0070
777.1,0.0075
777.0,0.0084
776.9,0.0086
776.8,0.0077
776.7,0.0085
776.6,0.0082
776.5,0.0078
776.4,0.0075
776.3,0.0081
776.2,0.0068
776.1,0.0076
776.0,0.0069
775.9,0.0084
775.8,0.0082
775.7,0.0078
775.6,0.0074
775.5,0.0078
775.4,0.0064
775.3,0.0089
775.2,0.0070
775.1,0.0082
775.0,0.0082
774.9,0.0076
774.8,0.0078
774.7,0.0080
774.6,0.0086
774.5,0.0099
774.4,0.0072
774.3,0.0078
774.2,0.0079
774.1,0.0085
774.0,0.0074
773.9,0.0074
773.8,0.0078
773.7,0.0080
773.6,0.0073
773.5,0.0078
773.4,0.0071
773.3,0.0084
773.2,0.0084
773.1,0.0081
773.0,0.0081
772.9,0.0080
772.8,0.0085
772.7,0.0079
772.6,0.0077
772.5,0.0079
772.4,0.0077
772.3,0.0079
772.2,0.0073
772.1,0.0081
772.0,0.0077
771.9,0.0073
771.8,0.0082
771.7,0.0082
771.6,0.0075
771.5,0.0081
771.4,0.0071
771.3,0.0076
771.2,0.0074
771.1,0.0079
771.0,0.0078
770.9,0.0077
770.8,0.0082
770.7,0.0078
770.6,0.0075
770.5,0.0073
770.4,0.0069
770.3,0.0075
770.2,0.0081
770.1,0.0086
770.0,0.0084
769.9,0.0084
769.8,0.0086
769.7,0.0077
769.6,0.0071
769.5,0.0079
769.4,0.0085
769.3,0.0078
769.2,0.0082
769.1,0.0086
769.0,0.0083
768.9,0.0080
768.8,0.0082
768.7,0.0078
768.6,0.0071
768.5,0.0075
768.4,0.0081
768.3,0.0084
768.2,0.0081
768.1,0.0079
768.0,0.0080
767.9,0.0077
767.8,0.0073
767.7,0.0080
767.6,0.0084
767.5,0.0080
767.4,0.0087
767.3,0.0084
767.2,0.0080
767.1,0.0080
767.0,0.0074
766.9,0.0075
766.8,0.0081
766.7,0.0081
766.6,0.0087
766.5,0.0085
766.4,0.0084
766.3,0.0089
766.2,0.0083
766.1,0.0080
766.0,0.0085
765.9,0.0081
765.8,0.0076
765.7,0.0078
765.6,0.0079
765.5,0.0081
765.4,0.0084
765.3,0.0084
765.2,0.0084
765.1,0.0080
765.0,0.0081
764.9,0.0079
764.8,0.0076
764.7,0.0081
764.6,0.0082
764.5,0.0078
764.4,0.0083
764.3,0.0079
764.2,0.0075
764.1,0.0081
764.0,0.0076
763.9,0.0070
763.8,0.0074
763.7,0.0078
763.6,0.0075
763.5,0.0084
763.4,0.0085
763.3,0.0085
763.2,0.0082
763.1,0.0083
763.0,0.0085
762.9,0.0079
762.8,0.0081
762.7,0.0087
762.6,0.0088
762.5,0.0087
762.4,0.0091
762.3,0.0092
762.2,0.0091
762.1,0.0082
762.0,0.0083
761.9,0.0087
761.8,0.0083
761.7,0.0081
761.6,0.0083
761.5,0.0086
761.4,0.0083
761.3,0.0086
761.2,0.0081
761.1,0.0080
761.0,0.0083
760.9,0.0075
760.8,0.0077
760.7,0.0078
760.6,0.0079
760.5,0.0082
760.4,0.0082
760.3,0.0081
760.2,0.0075
760.1,0.0079
760.0,0.0090
759.9,0.0079
759.8,0.0078
759.7,0.0081
759.6,0.0083
759.5,0.0077
759.4,0.0077
759.3,0.0081
759.2,0.0085
759.1,0.0083
759.0,0.0073
758.9,0.0079
758.8,0.0077
758.7,0.0080
758.6,0.0079
758.5,0.0088
758.4,0.0081
758.3,0.0083
758.2,0.0083
758.1,0.0086
758.0,0.0085
757.9,0.0081
757.8,0.0092
757.7,0.0083
757.6,0.0084
757.5,0.0081
757.4,0.0082
757.3,0.0085
757.2,0.0086
757.1,0.0079
757.0,0.0085
756.9,0.0088
756.8,0.0093
756.7,0.0082
756.6,0.0089
756.5,0.0088
756.4,0.0089
756.3,0.0082
756.2,0.0088
756.1,0.0080
756.0,0.0080
755.9,0.0074
755.8,0.0084
755.7,0.0082
755.6,0.0072
755.5,0.0087
755.4,0.0087
755.3,0.0091
755.2,0.0084
755.1,0.0082
755.0,0.0076
754.9,0.0084
754.8,0.0090
754.7,0.0080
754.6,0.0087
754.5,0.0082
754.4,0.0087
754.3,0.0090
754.2,0.0084
754.1,0.0082
754.0,0.0090
753.9,0.0088
753.8,0.0075
753.7,0.0092
753.6,0.0087
753.5,0.0077
753.4,0.0084
753.3,0.0079
753.2,0.0087
753.1,0.0089
753.0,0.0092
752.9,0.0075
752.8,0.0086
752.7,0.0081
752.6,0.0078
752.5,0.0084
752.4,0.0084
752.3,0.0095
752.2,0.0088
752.1,0.0086
752.0,0.0080
751.9,0.0090
751.8,0.0083
751.7,0.0077
751.6,0.0078
751.5,0.0087
751.4,0.0084
751.3,0.0081
751.2,0.0077
751.1,0.0080
751.0,0.0087
750.9,0.0081
