Created as New Dataset,
nm,A
800.0,0.0034
799.9,0.0037
799.8,0.0041
799.7,0.0039
799.6,0.0036
799.5,0.0034
799.4,0.0036
799.3,0.0036
799.2,0.0031
799.1,0.0030
799.0,0.0033
798.9,0.0016
798.8,0.0030
798.7,0.0041
798.6,0.0036
798.5,0.0023
798.4,0.0046
798.3,0.0042
798.2,0.0040
798.1,0.0037
798.0,0.0032
797.9,0.0023
797.8,0.0041
797.7,0.0034
797.6,0.0026
797.5,0.0030
797.4,0.0027
797.3,0.0034
797.2,0.0049
797.1,0.0043
797.0,0.0042
796.9,0.0029
796.8,0.0033
796.7,0.0049
796.6,0.0041
796.5,0.0041
796.4,0.0046
796.3,0.0040
796.2,0.0032
796.1,0.0031
796.0,0.0043
795.9,0.0045
795.8,0.0046
795.7,0.0035
795.6,0.0037
795.5,0.0028
795.4,0.0027
795.3,0.0043
795.2,0.0044
795.1,0.0036
795.0,0.0036
794.9,0.0037
794.8,0.0035
794.7,0.0039
794.6,0.0043
794.5,0.0042
794.4,0.0040
794.3,0.0038
794.2,0.0040
794.1,0.0040
794.0,0.0028
793.9,0.0038
793.8,0.0048
793.7,0.0040
793.6,0.0038
793.5,0.0032
793.4,0.0031
793.3,0.0040
793.2,0.0037
793.1,0.0042
793.0,0.0033
792.9,0.0034
792.8,0.0033
792.7,0.0037
792.6,0.0035
792.5,0.0025
792.4,0.0025
792.3,0.0033
792.2,0.0038
792.1,0.0038
792.0,0.0043
791.9,0.0044
791.8,0.0039
791.7,0.0027
791.6,0.0033
791.5,0.0030
791.4,0.0027
791.3,0.0038
791.2,0.0044
791.1,0.0042
791.0,0.0039
790.9,0.0027
790.8,0.0030
790.7,0.0039
790.6,0.0035
790.5,0.0036
790.4,0.0042
790.3,0.0049
790.2,0.0048
790.1,0.0041
790.0,0.0041
789.9,0.0037
789.8,0.0035
789.7,0.0033
789.6,0.0032
789.5,0.0038
789.4,0.0043
789.3,0.0039
789.2,0.0040
789.1,0.0050
789.0,0.0049
788.9,0.0037
788.8,0.0039
788.7,0.0040
788.6,0.0035
788.5,0.0033
788.4,0.0033
788.3,0.0030
788.2,0.0029
788.1,0.0031
788.0,0.0036
787.9,0.0034
787.8,0.0037
787.7,0.0041
787.6,0.0043
787.5,0.0045
787.4,0.0039
787.3,0.0033
787.2,0.0032
787.1,0.0036
787.0,0.0043
786.9,0.0045
786.8,0.0040
786.7,0.0033
786.6,0.0033
786.5,0.0037
786.4,0.0040
786.3,0.0036
786.2,0.0036
786.1,0.0035
786.0,0.0032
785.9,0.0035
785.8,0.0033
785.7,0.0020
785.6,0.0027
785.5,0.0043
785.4,0.0040
785.3,0.0040
785.2,0.0036
785.1,0.0039
785.0,0.0034
784.9,0.0043
784.8,0.0043
784.7,0.0028
784.6,0.0036
784.5,0.0039
784.4,0.0045
784.3,0.0043
784.2,0.0040
784.1,0.0046
784.0,0.0043
783.9,0.0041
783.8,0.0040
783.7,0.0042
783.6,0.0035
783.5,0.0037
783.4,0.0045
783.3,0.0041
783.2,0.0041
783.1,0.0043
783.0,0.0047
782.9,0.0032
782.8,0.0037
782.7,0.0031
782.6,0.0048
782.5,0.0044
782.4,0.0043
782.3,0.0040
782.2,0.0034
782.1,0.0040
782.0,0.0040
781.9,0.0043
781.8,0.0043
781.7,0.0035
781.6,0.0032
781.5,0.0026
781.4,0.0030
781.3,0.0037
781.2,0.0037
781.1,0.0033
781.0,0.0031
780.9,0.0033
780.8,0.0033
780.7,0.0036
780.6,0.0047
780.5,0.0041
780.4,0.0042
780.3,0.0040
780.2,0.0036
780.1,0.0043
780.0,0.0040
779.9,0.0039
779.8,0.0044
779.7,0.0036
779.6,0.0028
779.5,0.0035
779.4,0.0036
779.3,0.0037
779.2,0.0046
779.1,0.0040
779.0,0.0040
778.9,0.0045
778.8,0.0048
778.7,0.0036
778.6,0.0028
778.5,0.0035
778.4,0.0042
778.3,0.0045
778.2,0.0042
778.1,0.0042
778.0,0.0046
777.9,0.0043
777.8,0.0034
777.7,0.0024
777.6,0.0036
777.5,0.0047
777.4,0.0050
777.3,0.0049
777.2,0.0036
777.1,0.0043
777.0,0.0043
776.9,0.0050
776.8,0.0037
776.7,0.0045
776.6,0.0044
776.5,0.0039
776.4,0.0039
776.3,0.0039
776.2,0.0033
776.1,0.0030
776.0,0.0033
775.9,0.0031
775.8,0.0048
775.7,0.0039
775.6,0.0035
775.5,0.0039
775.4,0.0029
775.3,0.0052
775.2,0.0045
775.1,0.0040
775.0,0.0038
774.9,0.0049
774.8,0.0036
774.7,0.0034
774.6,0.0043
774.5,0.0046
774.4,0.0034
774.3,0.0043
774.2,0.0036
774.1,0.0049
774.0,0.0049
773.9,0.0036
773.8,0.0042
773.7,0.0037
773.6,0.0042
773.5,0.0038
773.4,0.0035
773.3,0.0043
773.2,0.0045
773.1,0.0045
773.0,0.0052
772.9,0.0038
772.8,0.0040
772.7,0.0037
772.6,0.0043
772.5,0.0043
772.4,0.0039
772.3,0.0036
772.2,0.0041
772.1,0.0045
772.0,0.0042
771.9,0.0029
771.8,0.0037
771.7,0.0038
771.6,0.0036
771.5,0.0042
771.4,0.0031
771.3,0.0035
771.2,0.0038
771.1,0.0050
771.0,0.0045
770.9,0.0038
770.8,0.0038
770.7,0.0047
770.6,0.0048
770.5,0.0046
770.4,0.0033
770.3,0.0035
770.2,0.0038
770.1,0.0045
770.0,0.0051
769.9,0.0043
769.8,0.0040
769.7,0.0043
769.6,0.0037
769.5,0.0040
769.4,0.0045
769.3,0.0043
769.2,0.0043
769.1,0.0043
769.0,0.0044
768.9,0.0037
768.8,0.0042
768.7,0.0050
768.6,0.0047
768.5,0.0037
768.4,0.0041
768.3,0.0044
768.2,0.0037
768.1,0.0046
768.0,0.0047
767.9,0.0040
767.8,0.0043
767.7,0.0045
767.6,0.0039
767.5,0.0039
767.4,0.0049
767.3,0.0043
767.2,0.0040
767.1,0.0040
767.0,0.0031
766.9,0.0032
766.8,0.0042
766.7,0.0040
766.6,0.0039
766.5,0.0041
766.4,0.0044
766.3,0.0044
766.2,0.0037
766.1,0.0036
766.0,0.0042
765.9,0.0043
765.8,0.0041
765.7,0.0039
765.6,0.0039
765.5,0.0045
765.4,0.0048
765.3,0.0046
765.2,0.0045
765.1,0.0044
765.0,0.0042
764.9,0.0045
764.8,0.0048
764.7,0.0043
764.6,0.0041
764.5,0.0040
764.4,0.0042
764.3,0.0041
764.2,0.0038
764.1,0.0042
764.0,0.0044
763.9,0.0035
763.8,0.0040
763.7,0.0046
763.6,0.0038
763.5,0.0040
763.4,0.0042
763.3,0.0046
763.2,0.0043
763.1,0.0038
763.0,0.0044
762.9,0.0037
762.8,0.0039
762.7,0.0050
762.6,0.0047
762.5,0.0047
762.4,0.0050
762.3,0.0049
762.2,0.0050
762.1,0.0044
762.0,0.0047
761.9,0.0051
761.8,0.0044
761.7,0.0038
761.6,0.0046
761.5,0.0050
761.4,0.0048
761.3,0.0049
761.2,0.0040
761.1,0.0041
761.0,0.0045
760.9,0.0040
760.8,0.0045
760.7,0.0039
760.6,0.0042
760.5,0.0042
760.4,0.0040
760.3,0.0043
760.2,0.0038
760.1,0.0041
760.0,0.0050
759.9,0.0044
759.8,0.0050
759.7,0.0051
759.6,0.0046
759.5,0.0051
759.4,0.0045
759.3,0.0046
759.2,0.0047
759.1,0.0041
759.0,0.0037
758.9,0.0042
758.8,0.0042
758.7,0.0044
758.6,0.0047
758.5,0.0046
758.4,0.0047
758.3,0.0038
758.2,0.0048
758.1,0.0053
758.0,0.0045
757.9,0.0046
757.8,0.0052
757.7,0.0044
757.6,0.0045
757.5,0.0045
757.4,0.0049
757.3,0.0044
757.2,0.0050
757.1,0.0039
757.0,0.0044
756.9,0.0042
756.8,0.0046
756.7,0.0038
756.6,0.0048
756.5,0.0053
756.4,0.0047
756.3,0.0048
756.2,0.0048
756.1,0.0040
756.0,0.0047
755.9,0.0040
755.8,0.0049
755.7,0.0050
755.6,0.0041
755.5,0.0051
755.4,0.0038
755.3,0.0051
755.2,0.0047
755.1,0.0036
755.0,0.0039
754.9,0.0045
754.8,0.0052
754.7,0.0039
754.6,0.0055
754.5,0.0052
754.4,0.0042
754.3,0.0051
754.2,0.0051
754.1,0.0047
754.0,0.0057
753.9,0.0046
753.8,0.0046
753.7,0.0050
753.6,0.0047
753.5,0.0049
753.4,0.0047
