Created as New Dataset,
nm,A
800.0,-0.0138
799.9,-0.0149
799.8,-0.0147
799.7,-0.0144
799.6,-0.0148
799.5,-0.0140
799.4,-0.0140
799.3,-0.0141
799.2,-0.0146
799.1,-0.0167
799.0,-0.0143
798.9,-0.0164
798.8,-0.0155
798.7,-0.0141
798.6,-0.0155
798.5,-0.0147
798.4,-0.0151
798.3,-0.0148
798.2,-0.0141
798.1,-0.0154
798.0,-0.0148
797.9,-0.0152
797.8,-0.0142
797.7,-0.0157
797.6,-0.0155
797.5,-0.0159
797.4,-0.0159
797.3,-0.0156
797.2,-0.0140
797.1,-0.0145
797.0,-0.0153
796.9,-0.0163
796.8,-0.0159
796.7,-0.0152
796.6,-0.0153
796.5,-0.0146
796.4,-0.0150
796.3,-0.0159
796.2,-0.0156
796.1,-0.0150
796.0,-0.0150
795.9,-0.0149
795.8,-0.0157
795.7,-0.0151
795.6,-0.0150
795.5,-0.0155
795.4,-0.0163
795.3,-0.0153
795.2,-0.0158
795.1,-0.0164
795.0,-0.0158
794.9,-0.0161
794.8,-0.0165
794.7,-0.0163
794.6,-0.0162
794.5,-0.0155
794.4,-0.0169
794.3,-0.0157
794.2,-0.0163
794.1,-0.0176
794.0,-0.0180
793.9,-0.0168
793.8,-0.0164
793.7,-0.0172
793.6,-0.0172
793.5,-0.0178
793.4,-0.0177
793.3,-0.0172
793.2,-0.0174
793.1,-0.0171
793.0,-0.0171
792.9,-0.0174
792.8,-0.0177
792.7,-0.0172
792.6,-0.0173
792.5,-0.0176
792.4,-0.0182
792.3,-0.0183
792.2,-0.0173
792.1,-0.0172
792.0,-0.0173
791.9,-0.0180
791.8,-0.0183
791.7,-0.0189
791.6,-0.0188
791.5,-0.0195
791.4,-0.0197
791.3,-0.0192
791.2,-0.0180
791.1,-0.0177
791.0,-0.0185
790.9,-0.0191
790.8,-0.0189
790.7,-0.0185
790.6,-0.0182
790.5,-0.0189
790.4,-0.0195
790.3,-0.0183
790.2,-0.0176
790.1,-0.0180
790.0,-0.0184
789.9,-0.0193
789.8,-0.0198
789.7,-0.0191
789.6,-0.0192
789.5,-0.0193
789.4,-0.0192
789.3,-0.0198
789.2,-0.0197
789.1,-0.0188
789.0,-0.0187
788.9,-0.0197
788.8,-0.0201
788.7,-0.0197
788.6,-0.0207
788.5,-0.0206
788.4,-0.0201
788.3,-0.0200
788.2,-0.0203
788.1,-0.0202
788.0,-0.0195
787.9,-0.0199
787.8,-0.0197
787.7,-0.0197
787.6,-0.0197
787.5,-0.0193
787.4,-0.0192
787.3,-0.0196
787.2,-0.0197
787.1,-0.0204
787.0,-0.0202
786.9,-0.0199
786.8,-0.0205
786.7,-0.0208
786.6,-0.0204
786.5,-0.0197
786.4,-0.0201
786.3,-0.0205
786.2,-0.0204
786.1,-0.0206
786.0,-0.0206
785.9,-0.0205
785.8,-0.0211
785.7,-0.0221
785.6,-0.0215
785.5,-0.0208
785.4,-0.0211
785.3,-0.0207
785.2,-0.0213
785.1,-0.0210
785.0,-0.0214
784.9,-0.0216
784.8,-0.0211
784.7,-0.0221
784.6,-0.0217
784.5,-0.0211
784.4,-0.0203
784.3,-0.0202
784.2,-0.0207
784.1,-0.0201
784.0,-0.0201
783.9,-0.0207
783.8,-0.0204
783.7,-0.0208
783.6,-0.0212
783.5,-0.0214
783.4,-0.0209
783.3,-0.0209
783.2,-0.0206
783.1,-0.0210
783.0,-0.0204
782.9,-0.0213
782.8,-0.0212
782.7,-0.0211
782.6,-0.0215
782.5,-0.0214
782.4,-0.0218
782.3,-0.0215
782.2,-0.0214
782.1,-0.0212
782.0,-0.0206
781.9,-0.0197
781.8,-0.0200
781.7,-0.0215
781.6,-0.0217
781.5,-0.0219
781.4,-0.0218
781.3,-0.0203
781.2,-0.0214
781.1,-0.0209
781.0,-0.0214
780.9,-0.0208
780.8,-0.0214
780.7,-0.0214
780.6,-0.0204
780.5,-0.0202
780.4,-0.0206
780.3,-0.0215
780.2,-0.0214
780.1,-0.0207
780.0,-0.0204
779.9,-0.0210
779.8,-0.0205
779.7,-0.0210
779.6,-0.0220
779.5,-0.0212
779.4,-0.0203
779.3,-0.0209
779.2,-0.0211
779.1,-0.0205
779.0,-0.0206
778.9,-0.0200
778.8,-0.0202
778.7,-0.0204
778.6,-0.0212
778.5,-0.0214
778.4,-0.0206
778.3,-0.0212
778.2,-0.0201
778.1,-0.0212
778.0,-0.0211
777.9,-0.0207
777.8,-0.0208
777.7,-0.0211
777.6,-0.0206
777.5,-0.0208
777.4,-0.0198
777.3,-0.0204
777.2,-0.0201
777.1,-0.0199
777.0,-0.0203
776.9,-0.0197
776.8,-0.0205
776.7,-0.0196
776.6,-0.0194
776.5,-0.0210
776.4,-0.0203
776.3,-0.0201
776.2,-0.0209
776.1,-0.0216
776.0,-0.0211
775.9,-0.0205
775.8,-0.0194
775.7,-0.0212
775.6,-0.0219
775.5,-0.0215
775.4,-0.0207
775.3,-0.0198
775.2,-0.0202
775.1,-0.0207
775.0,-0.0207
774.9,-0.0201
774.8,-0.0210
774.7,-0.0207
774.6,-0.0196
774.5,-0.0204
774.4,-0.0215
774.3,-0.0200
774.2,-0.0207
774.1,-0.0208
774.0,-0.0207
773.9,-0.0213
773.8,-0.0210
773.7,-0.0207
773.6,-0.0207
773.5,-0.0210
773.4,-0.0207
773.3,-0.0203
773.2,-0.0198
773.1,-0.0204
773.0,-0.0209
772.9,-0.0206
772.8,-0.0207
772.7,-0.0202
772.6,-0.0210
772.5,-0.0205
772.4,-0.0205
772.3,-0.0205
772.2,-0.0209
772.1,-0.0205
772.0,-0.0201
771.9,-0.0214
771.8,-0.0204
771.7,-0.0205
771.6,-0.0213
771.5,-0.0208
771.4,-0.0212
771.3,-0.0210
771.2,-0.0208
771.1,-0.0207
771.0,-0.0203
770.9,-0.0209
770.8,-0.0203
770.7,-0.0195
770.6,-0.0202
770.5,-0.0197
770.4,-0.0199
770.3,-0.0198
770.2,-0.0198
770.1,-0.0192
770.0,-0.0193
769.9,-0.0194
769.8,-0.0192
769.7,-0.0193
769.6,-0.0203
769.5,-0.0195
769.4,-0.0190
769.3,-0.0194
769.2,-0.0190
769.1,-0.0182
769.0,-0.0187
768.9,-0.0186
768.8,-0.0181
768.7,-0.0182
768.6,-0.0188
768.5,-0.0186
768.4,-0.0190
768.3,-0.0190
768.2,-0.0185
768.1,-0.0174
768.0,-0.0175
767.9,-0.0181
767.8,-0.0181
767.7,-0.0178
767.6,-0.0176
767.5,-0.0170
767.4,-0.0165
767.3,-0.0170
767.2,-0.0173
767.1,-0.0180
767.0,-0.0181
766.9,-0.0169
766.8,-0.0167
766.7,-0.0173
766.6,-0.0169
766.5,-0.0167
766.4,-0.0163
766.3,-0.0159
766.2,-0.0161
766.1,-0.0164
766.0,-0.0163
765.9,-0.0162
765.8,-0.0161
765.7,-0.0159
765.6,-0.0155
765.5,-0.0151
765.4,-0.0149
765.3,-0.0149
765.2,-0.0148
765.1,-0.0146
765.0,-0.0146
764.9,-0.0148
764.8,-0.0148
764.7,-0.0143
764.6,-0.0141
764.5,-0.0143
764.4,-0.0138
764.3,-0.0141
764.2,-0.0144
764.1,-0.0140
764.0,-0.0138
763.9,-0.0139
763.8,-0.0134
763.7,-0.0132
763.6,-0.0135
763.5,-0.0132
763.4,-0.0127
763.3,-0.0129
763.2,-0.0129
763.1,-0.0127
763.0,-0.0126
762.9,-0.0128
762.8,-0.0123
762.7,-0.0120
762.6,-0.0124
762.5,-0.0125
762.4,-0.0119
