Created as New Dataset,
nm,A
800.0,0.0040
799.9,0.0030
799.8,0.0027
799.7,0.0025
799.6,0.0031
799.5,0.0031
799.4,0.0041
799.3,0.0041
799.2,0.0027
799.1,0.0018
799.0,0.0030
798.9,0.0017
798.8,0.0032
798.7,0.0036
798.6,0.0028
798.5,0.0028
798.4,0.0034
798.3,0.0041
798.2,0.0029
798.1,0.0022
798.0,0.0034
797.9,0.0029
797.8,0.0035
797.7,0.0033
797.6,0.0029
797.5,0.0028
797.4,0.0031
797.3,0.0030
797.2,0.0043
797.1,0.0042
797.0,0.0033
796.9,0.0025
796.8,0.0023
796.7,0.0033
796.6,0.0033
796.5,0.0031
796.4,0.0041
796.3,0.0038
796.2,0.0027
796.1,0.0021
796.0,0.0032
795.9,0.0035
795.8,0.0031
795.7,0.0025
795.6,0.0023
795.5,0.0020
795.4,0.0016
795.3,0.0023
795.2,0.0035
795.1,0.0038
795.0,0.0036
794.9,0.0031
794.8,0.0029
794.7,0.0038
794.6,0.0037
794.5,0.0036
794.4,0.0031
794.3,0.0038
794.2,0.0039
794.1,0.0036
794.0,0.0032
793.9,0.0036
793.8,0.0035
793.7,0.0036
793.6,0.0037
793.5,0.0029
793.4,0.0025
793.3,0.0029
793.2,0.0035
793.1,0.0035
793.0,0.0040
792.9,0.0026
792.8,0.0022
792.7,0.0028
792.6,0.0032
792.5,0.0025
792.4,0.0032
792.3,0.0033
792.2,0.0032
792.1,0.0033
792.0,0.0036
791.9,0.0037
791.8,0.0032
791.7,0.0023
791.6,0.0032
791.5,0.0028
791.4,0.0022
791.3,0.0021
791.2,0.0035
791.1,0.0037
791.0,0.0037
790.9,0.0029
790.8,0.0030
790.7,0.0040
790.6,0.0035
790.5,0.0034
790.4,0.0036
790.3,0.0039
790.2,0.0035
790.1,0.0035
790.0,0.0041
789.9,0.0036
789.8,0.0035
789.7,0.0029
789.6,0.0026
789.5,0.0035
789.4,0.0036
789.3,0.0026
789.2,0.0024
789.1,0.0038
789.0,0.0045
788.9,0.0031
788.8,0.0031
788.7,0.0035
788.6,0.0026
788.5,0.0027
788.4,0.0032
788.3,0.0035
788.2,0.0024
788.1,0.0027
788.0,0.0034
787.9,0.0030
787.8,0.0034
787.7,0.0031
787.6,0.0032
787.5,0.0034
787.4,0.0035
787.3,0.0031
787.2,0.0035
787.1,0.0036
787.0,0.0034
786.9,0.0036
786.8,0.0034
786.7,0.0033
786.6,0.0025
786.5,0.0030
786.4,0.0034
786.3,0.0034
786.2,0.0036
786.1,0.0033
786.0,0.0035
785.9,0.0038
785.8,0.0029
785.7,0.0021
785.6,0.0027
785.5,0.0028
785.4,0.0028
785.3,0.0033
785.2,0.0025
785.1,0.0027
785.0,0.0020
784.9,0.0029
784.8,0.0032
784.7,0.0026
784.6,0.0039
784.5,0.0035
784.4,0.0037
784.3,0.0039
784.2,0.0033
784.1,0.0035
784.0,0.0032
783.9,0.0032
783.8,0.0040
783.7,0.0039
783.6,0.0034
783.5,0.0030
783.4,0.0035
783.3,0.0036
783.2,0.0039
783.1,0.0039
783.0,0.0036
782.9,0.0023
782.8,0.0029
782.7,0.0027
782.6,0.0035
782.5,0.0037
782.4,0.0032
782.3,0.0039
782.2,0.0039
782.1,0.0037
782.0,0.0039
781.9,0.0036
781.8,0.0035
781.7,0.0026
781.6,0.0027
781.5,0.0020
781.4,0.0029
781.3,0.0033
781.2,0.0028
781.1,0.0035
781.0,0.0025
780.9,0.0030
780.8,0.0035
780.7,0.0036
780.6,0.0034
780.5,0.0032
780.4,0.0033
780.3,0.0021
780.2,0.0023
780.1,0.0035
780.0,0.0036
779.9,0.0045
779.8,0.0046
779.7,0.0030
779.6,0.0032
779.5,0.0035
779.4,0.0042
779.3,0.0032
779.2,0.0039
779.1,0.0029
779.0,0.0036
