Created as New Dataset,
nm,A
800.0,-0.0002
799.9,0.0008
799.8,0.0024
799.7,0.0009
799.6,-0.0001
799.5,0.0004
799.4,0.0006
799.3,0.0011
799.2,0.0004
799.1,-0.0009
799.0,0.0004
798.9,-0.0015
798.8,0.0012
798.7,0.0007
798.6,0.0002
798.5,0.0002
798.4,0.0009
798.3,0.0012
798.2,0.0001
798.1,0.0002
798.0,0.0000
797.9,-0.0003
797.8,0.0012
797.7,-0.0006
797.6,-0.0006
797.5,-0.0008
797.4,-0.0006
797.3,-0.0000
797.2,0.0017
797.1,0.0018
797.0,0.0014
796.9,-0.0003
796.8,0.0007
796.7,0.0003
796.6,0.0005
796.5,0.0014
796.4,0.0013
796.3,-0.0000
796.2,-0.0003
796.1,0.0002
796.0,0.0006
795.9,0.0000
795.8,-0.0001
795.7,0.0004
795.6,-0.0000
795.5,-0.0003
795.4,-0.0008
795.3,0.0006
795.2,0.0004
795.1,0.0007
795.0,0.0000
794.9,0.0003
794.8,0.0001
794.7,0.0003
794.6,0.0007
794.5,0.0004
794.4,0.0004
794.3,0.0014
794.2,0.0009
794.1,0.0003
794.0,-0.0000
793.9,0.0008
793.8,0.0006
793.7,0.0001
793.6,-0.0002
793.5,-0.0007
793.4,-0.0008
793.3,0.0003
793.2,0.0001
793.1,0.0004
793.0,0.0004
792.9,0.0007
792.8,0.0007
792.7,-0.0002
792.6,0.0001
792.5,0.0007
792.4,0.0007
792.3,0.0008
792.2,0.0011
792.1,0.0004
792.0,0.0003
791.9,0.0013
791.8,0.0006
791.7,0.0003
791.6,0.0008
791.5,-0.0005
791.4,-0.0003
791.3,-0.0001
791.2,0.0002
791.1,0.0001
791.0,0.0002
790.9,-0.0002
790.8,0.0002
790.7,0.0006
790.6,0.0001
790.5,-0.0000
790.4,0.0003
790.3,0.0014
790.2,0.0016
790.1,0.0004
790.0,0.0002
789.9,-0.0000
789.8,0.0001
789.7,-0.0002
789.6,0.0001
789.5,0.0013
789.4,0.0011
789.3,0.0003
789.2,0.0004
789.1,0.0010
789.0,0.0009
788.9,-0.0002
788.8,-0.0002
788.7,0.0005
788.6,0.0000
788.5,0.0003
788.4,0.0002
788.3,-0.0005
788.2,-0.0006
788.1,-0.0003
788.0,0.0003
787.9,-0.0005
787.8,-0.0002
787.7,0.0009
787.6,0.0007
787.5,0.0001
787.4,0.0003
787.3,0.0003
787.2,0.0000
787.1,-0.0001
787.0,0.0005
786.9,0.0015
786.8,0.0010
786.7,0.0009
786.6,-0.0001
786.5,0.0001
786.4,0.0003
786.3,0.0000
786.2,0.0002
786.1,-0.0004
786.0,-0.0002
785.9,0.0004
785.8,-0.0004
785.7,-0.0009
785.6,-0.0004
785.5,0.0002
785.4,-0.0004
785.3,-0.0001
785.2,-0.0003
785.1,-0.0005
785.0,-0.0002
784.9,-0.0006
784.8,0.0002
784.7,-0.0001
784.6,0.0002
784.5,0.0008
784.4,0.0010
784.3,0.0004
784.2,0.0001
784.1,0.0002
784.0,0.0004
783.9,0.0015
783.8,0.0004
783.7,0.0007
783.6,0.0005
783.5,0.0005
783.4,0.0005
783.3,-0.0003
783.2,0.0002
783.1,0.0005
783.0,0.0004
782.9,-0.0006
782.8,-0.0000
782.7,-0.0003
782.6,0.0002
782.5,0.0013
782.4,0.0007
782.3,-0.0001
782.2,0.0003
782.1,0.0005
782.0,0.0009
781.9,0.0007
781.8,0.0014
781.7,0.0004
781.6,-0.0003
781.5,-0.0009
781.4,-0.0006
781.3,0.0006
781.2,-0.0003
781.1,-0.0004
781.0,-0.0000
780.9,0.0002
780.8,-0.0002
780.7,0.0005
780.6,0.0011
780.5,0.0007
780.4,-0.0004
780.3,-0.0006
780.2,0.0006
780.1,0.0004
780.0,0.0003
779.9,0.0011
779.8,0.0017
779.7,0.0006
779.6,0.0005
779.5,0.0009
779.4,0.0009
779.3,-0.0001
