Created as New Dataset,
nm,A
800.0,0.0045
799.9,0.0037
799.8,0.0042
799.7,0.0044
799.6,0.0035
799.5,0.0036
799.4,0.0038
799.3,0.0047
799.2,0.0038
799.1,0.0024
799.0,0.0037
798.9,0.0013
798.8,0.0038
798.7,0.0045
798.6,0.0038
798.5,0.0030
798.4,0.0050
798.3,0.0042
798.2,0.0043
798.1,0.0042
798.0,0.0032
797.9,0.0034
797.8,0.0052
797.7,0.0038
797.6,0.0042
797.5,0.0027
797.4,0.0040
797.3,0.0035
797.2,0.0050
797.1,0.0047
797.0,0.0046
796.9,0.0027
796.8,0.0039
796.7,0.0043
796.6,0.0045
796.5,0.0046
796.4,0.0048
796.3,0.0033
796.2,0.0037
796.1,0.0044
796.0,0.0044
795.9,0.0042
795.8,0.0050
795.7,0.0041
795.6,0.0038
795.5,0.0032
795.4,0.0032
795.3,0.0048
795.2,0.0045
795.1,0.0046
795.0,0.0043
794.9,0.0040
794.8,0.0039
794.7,0.0039
794.6,0.0042
794.5,0.0041
794.4,0.0044
794.3,0.0048
794.2,0.0043
794.1,0.0040
794.0,0.0037
793.9,0.0049
793.8,0.0048
793.7,0.0039
793.6,0.0042
793.5,0.0041
793.4,0.0025
793.3,0.0037
793.2,0.0042
793.1,0.0043
793.0,0.0038
792.9,0.0039
792.8,0.0034
792.7,0.0027
792.6,0.0038
792.5,0.0041
792.4,0.0037
792.3,0.0040
792.2,0.0051
792.1,0.0050
792.0,0.0041
791.9,0.0040
791.8,0.0042
791.7,0.0040
791.6,0.0040
791.5,0.0034
791.4,0.0035
791.3,0.0037
791.2,0.0046
791.1,0.0047
791.0,0.0044
790.9,0.0041
790.8,0.0046
790.7,0.0054
790.6,0.0053
790.5,0.0044
790.4,0.0037
790.3,0.0047
790.2,0.0052
790.1,0.0041
790.0,0.0040
789.9,0.0043
789.8,0.0041
789.7,0.0037
789.6,0.0033
789.5,0.0041
789.4,0.0043
789.3,0.0039
789.2,0.0037
789.1,0.0046
789.0,0.0050
788.9,0.0037
788.8,0.0036
788.7,0.0042
788.6,0.0045
788.5,0.0046
788.4,0.0043
788.3,0.0043
788.2,0.0038
788.1,0.0037
788.0,0.0046
787.9,0.0042
787.8,0.0043
787.7,0.0051
787.6,0.0040
787.5,0.0037
787.4,0.0047
787.3,0.0042
787.2,0.0043
787.1,0.0042
787.0,0.0043
786.9,0.0048
786.8,0.0047
786.7,0.0043
786.6,0.0039
786.5,0.0043
786.4,0.0044
786.3,0.0038
786.2,0.0041
786.1,0.0043
786.0,0.0040
785.9,0.0041
785.8,0.0041
785.7,0.0038
785.6,0.0041
785.5,0.0045
785.4,0.0044
785.3,0.0040
785.2,0.0038
785.1,0.0037
785.0,0.0034
784.9,0.0038
784.8,0.0050
784.7,0.0038
784.6,0.0037
784.5,0.0042
784.4,0.0044
784.3,0.0044
784.2,0.0041
784.1,0.0049
784.0,0.0046
783.9,0.0043
783.8,0.0044
783.7,0.0040
783.6,0.0035
783.5,0.0040
783.4,0.0043
783.3,0.0042
783.2,0.0045
783.1,0.0044
783.0,0.0046
782.9,0.0036
782.8,0.0045
782.7,0.0042
782.6,0.0045
782.5,0.0047
782.4,0.0043
782.3,0.0045
782.2,0.0049
782.1,0.0044
782.0,0.0053
781.9,0.0050
781.8,0.0048
781.7,0.0039
781.6,0.0032
781.5,0.0032
781.4,0.0039
781.3,0.0045
781.2,0.0033
781.1,0.0044
781.0,0.0035
780.9,0.0042
780.8,0.0043
780.7,0.0040
780.6,0.0049
780.5,0.0049
780.4,0.0045
780.3,0.0032
780.2,0.0043
780.1,0.0054
780.0,0.0044
779.9,0.0047
779.8,0.0043
779.7,0.0035
779.6,0.0034
779.5,0.0040
779.4,0.0043
779.3,0.0039
779.2,0.0048
779.1,0.0046
779.0,0.0043
778.9,0.0041
778.8,0.0050
778.7,0.0045
778.6,0.0032
778.5,0.0037
778.4,0.0039
778.3,0.0043
778.2,0.0046
778.1,0.0045
778.0,0.0039
777.9,0.0044
777.8,0.0041
777.7,0.0040
777.6,0.0047
777.5,0.0048
777.4,0.0053
777.3,0.0053
777.2,0.0043
777.1,0.0050
777.0,0.0050
776.9,0.0061
776.8,0.0041
776.7,0.0048
776.6,0.0053
776.5,0.0044
776.4,0.0043
776.3,0.0044
776.2,0.0032
776.1,0.0035
776.0,0.0041
775.9,0.0042
775.8,0.0058
775.7,0.0047
775.6,0.0038
775.5,0.0040
775.4,0.0046
775.3,0.0057
775.2,0.0055
775.1,0.0049
775.0,0.0038
774.9,0.0051
774.8,0.0038
774.7,0.0048
774.6,0.0056
774.5,0.0058
774.4,0.0040
774.3,0.0047
774.2,0.0049
774.1,0.0052
774.0,0.0050
773.9,0.0040
773.8,0.0047
773.7,0.0051
773.6,0.0040
773.5,0.0038
773.4,0.0042
773.3,0.0056
773.2,0.0054
773.1,0.0054
773.0,0.0037
772.9,0.0047
772.8,0.0051
772.7,0.0044
772.6,0.0044
772.5,0.0044
772.4,0.0046
772.3,0.0051
772.2,0.0043
772.1,0.0045
772.0,0.0046
771.9,0.0045
771.8,0.0047
771.7,0.0048
771.6,0.0044
771.5,0.0044
771.4,0.0039
771.3,0.0042
771.2,0.0041
771.1,0.0045
771.0,0.0044
770.9,0.0038
770.8,0.0048
770.7,0.0048
770.6,0.0046
770.5,0.0044
770.4,0.0043
770.3,0.0042
770.2,0.0044
770.1,0.0053
770.0,0.0052
769.9,0.0046
769.8,0.0050
769.7,0.0045
769.6,0.0038
769.5,0.0048
769.4,0.0058
769.3,0.0047
769.2,0.0043
769.1,0.0050
769.0,0.0054
768.9,0.0052
768.8,0.0057
768.7,0.0050
768.6,0.0046
768.5,0.0046
768.4,0.0040
768.3,0.0047
768.2,0.0050
768.1,0.0052
768.0,0.0055
767.9,0.0049
767.8,0.0046
767.7,0.0053
767.6,0.0050
767.5,0.0047
767.4,0.0052
767.3,0.0047
767.2,0.0046
767.1,0.0043
767.0,0.0033
766.9,0.0037
766.8,0.0046
766.7,0.0042
766.6,0.0044
766.5,0.0049
766.4,0.0049
766.3,0.0050
766.2,0.0047
766.1,0.0041
766.0,0.0044
765.9,0.0050
765.8,0.0052
765.7,0.0053
765.6,0.0049
765.5,0.0050
765.4,0.0054
765.3,0.0050
765.2,0.0049
765.1,0.0049
765.0,0.0046
764.9,0.0045
764.8,0.0050
764.7,0.0051
764.6,0.0044
764.5,0.0044
764.4,0.0047
764.3,0.0046
764.2,0.0042
764.1,0.0042
764.0,0.0044
763.9,0.0046
763.8,0.0051
763.7,0.0049
763.6,0.0044
763.5,0.0050
763.4,0.0051
763.3,0.0049
763.2,0.0044
763.1,0.0045
763.0,0.0050
762.9,0.0048
762.8,0.0050
762.7,0.0056
762.6,0.0051
762.5,0.0051
762.4,0.0056
762.3,0.0054
762.2,0.0054
762.1,0.0049
762.0,0.0053
761.9,0.0053
761.8,0.0045
761.7,0.0045
761.6,0.0050
761.5,0.0053
761.4,0.0054
761.3,0.0054
761.2,0.0049
761.1,0.0046
761.0,0.0054
760.9,0.0049
760.8,0.0049
760.7,0.0048
760.6,0.0055
760.5,0.0048
760.4,0.0050
760.3,0.0052
760.2,0.0044
760.1,0.0049
760.0,0.0053
759.9,0.0048
759.8,0.0052
759.7,0.0058
759.6,0.0052
759.5,0.0053
759.4,0.0050
759.3,0.0056
759.2,0.0045
759.1,0.0048
759.0,0.0044
758.9,0.0048
758.8,0.0048
758.7,0.0050
758.6,0.0045
758.5,0.0051
758.4,0.0054
758.3,0.0050
758.2,0.0052
758.1,0.0053
758.0,0.0055
757.9,0.0054
757.8,0.0058
757.7,0.0046
757.6,0.0047
757.5,0.0052
757.4,0.0054
757.3,0.0039
757.2,0.0053
757.1,0.0044
757.0,0.0047
756.9,0.0053
756.8,0.0052
756.7,0.0048
756.6,0.0057
756.5,0.0056
756.4,0.0046
756.3,0.0047
756.2,0.0059
756.1,0.0050
756.0,0.0052
755.9,0.0047
755.8,0.0054
755.7,0.0048
755.6,0.0058
755.5,0.0060
755.4,0.0049
755.3,0.0052
755.2,0.0052
755.1,0.0042
755.0,0.0048
754.9,0.0048
754.8,0.0052
754.7,0.0050
754.6,0.0053
754.5,0.0052
754.4,0.0045
754.3,0.0055
754.2,0.0057
754.1,0.0056
754.0,0.0052
753.9,0.0056
753.8,0.0044
753.7,0.0057
753.6,0.0052
753.5,0.0048
753.4,0.0062
753.3,0.0044
753.2,0.0052
753.1,0.0047
753.0,0.0053
752.9,0.0050
752.8,0.0058
752.7,0.0049
752.6,0.0055
752.5,0.0055
752.4,0.0057
752.3,0.0061
752.2,0.0050
752.1,0.0056
752.0,0.0047
751.9,0.0056
751.8,0.0046
751.7,0.0043
751.6,0.0048
751.5,0.0050
751.4,0.0053
751.3,0.0053
751.2,0.0050
751.1,0.0053
751.0,0.0052
750.9,0.0047
750.8,0.0051
750.7,0.0047
750.6,0.0051
750.5,0.0054
750.4,0.0064
750.3,0.0049
750.2,0.0042
750.1,0.0046
750.0,0.0054
749.9,0.0054
749.8,0.0057
749.7,0.0051
749.6,0.0055
749.5,0.0054
749.4,0.0056
749.3,0.0054
749.2,0.0060
749.1,0.0050
749.0,0.0047
748.9,0.0047
748.8,0.0049
748.7,0.0052
748.6,0.0050
748.5,0.0049
748.4,0.0050
748.3,0.0050
748.2,0.0055
748.1,0.0049
748.0,0.0054
747.9,0.0050
747.8,0.0060
747.7,0.0058
747.6,0.0065
747.5,0.0061
747.4,0.0058
747.3,0.0050
747.2,0.0052
747.1,0.0057
747.0,0.0056
746.9,0.0056
746.8,0.0055
746.7,0.0054
746.6,0.0052
746.5,0.0048
746.4,0.0048
746.3,0.0052
746.2,0.0057
746.1,0.0056
746.0,0.0054
745.9,0.0055
745.8,0.0053
745.7,0.0054
745.6,0.0059
745.5,0.0054
745.4,0.0054
745.3,0.0053
745.2,0.0051
745.1,0.0048
745.0,0.0054
744.9,0.0051
744.8,0.0049
744.7,0.0056
744.6,0.0055
744.5,0.0055
744.4,0.0055
744.3,0.0051
744.2,0.0050
744.1,0.0053
744.0,0.0050
743.9,0.0051
743.8,0.0057
743.7,0.0058
743.6,0.0054
743.5,0.0052
743.4,0.0053
743.3,0.0058
743.2,0.0057
743.1,0.0050
743.0,0.0053
742.9,0.0049
742.8,0.0045
742.7,0.0049
742.6,0.0050
742.5,0.0054
742.4,0.0057
742.3,0.0058
742.2,0.0062
742.1,0.0055
742.0,0.0052
741.9,0.0053
741.8,0.0051
741.7,0.0055
741.6,0.0056
741.5,0.0056
741.4,0.0057
741.3,0.0059
741.2,0.0060
741.1,0.0056
741.0,0.0056
740.9,0.0057
740.8,0.0051
740.7,0.0052
740.6,0.0058
740.5,0.0060
740.4,0.0058
740.3,0.0061
740.2,0.0061
740.1,0.0060
740.0,0.0053
739.9,0.0050
739.8,0.0058
739.7,0.0062
739.6,0.0061
739.5,0.0056
739.4,0.0054
739.3,0.0056
739.2,0.0056
739.1,0.0056
739.0,0.0055
738.9,0.0055
738.8,0.0062
738.7,0.0058
738.6,0.0053
738.5,0.0050
738.4,0.0051
738.3,0.0058
738.2,0.0058
738.1,0.0060
738.0,0.0056
737.9,0.0053
737.8,0.0055
737.7,0.0053
737.6,0.0054
737.5,0.0057
737.4,0.0060
737.3,0.0057
737.2,0.0055
737.1,0.0055
737.0,0.0059
736.9,0.0055
736.8,0.0054
736.7,0.0056
736.6,0.0060
736.5,0.0060
736.4,0.0059
736.3,0.0056
736.2,0.0055
736.1,0.0053
736.0,0.0056
735.9,0.0058
735.8,0.0064
735.7,0.0064
735.6,0.0061
735.5,0.0053
735.4,0.0055
735.3,0.0054
735.2,0.0058
735.1,0.0055
735.0,0.0056
734.9,0.0053
734.8,0.0059
734.7,0.0062
734.6,0.0057
734.5,0.0062
734.4,0.0068
734.3,0.0060
734.2,0.0061
734.1,0.0050
734.0,0.0055
733.9,0.0057
733.8,0.0055
733.7,0.0060
733.6,0.0056
733.5,0.0054
733.4,0.0059
733.3,0.0053
733.2,0.0054
733.1,0.0059
733.0,0.0058
732.9,0.0057
