Created as New Dataset,
nm,A
800.0,0.0011
799.9,0.0016
799.8,0.0026
799.7,0.0018
799.6,0.0034
799.5,0.0015
799.4,0.0022
799.3,0.0026
799.2,0.0026
799.1,0.0006
799.0,0.0020
798.9,0.0011
798.8,0.0018
798.7,0.0029
798.6,0.0019
798.5,0.0019
798.4,0.0030
798.3,0.0018
798.2,0.0020
798.1,0.0025
798.0,0.0021
797.9,0.0024
797.8,0.0034
797.7,0.0032
797.6,0.0026
797.5,0.0018
797.4,0.0024
797.3,0.0025
797.2,0.0038
797.1,0.0033
797.0,0.0034
796.9,0.0021
796.8,0.0021
796.7,0.0029
796.6,0.0030
796.5,0.0029
796.4,0.0028
796.3,0.0019
796.2,0.0020
796.1,0.0027
796.0,0.0028
795.9,0.0026
795.8,0.0032
795.7,0.0028
795.6,0.0025
795.5,0.0020
795.4,0.0019
795.3,0.0031
795.2,0.0035
795.1,0.0030
795.0,0.0024
794.9,0.0022
794.8,0.0018
794.7,0.0021
794.6,0.0029
794.5,0.0026
794.4,0.0029
794.3,0.0032
794.2,0.0027
794.1,0.0023
794.0,0.0028
793.9,0.0031
793.8,0.0032
793.7,0.0024
793.6,0.0031
793.5,0.0023
793.4,0.0011
793.3,0.0030
793.2,0.0034
793.1,0.0031
793.0,0.0024
792.9,0.0023
792.8,0.0027
792.7,0.0021
792.6,0.0023
792.5,0.0026
792.4,0.0027
792.3,0.0026
792.2,0.0030
792.1,0.0029
792.0,0.0033
791.9,0.0031
791.8,0.0019
791.7,0.0017
791.6,0.0023
791.5,0.0019
791.4,0.0022
791.3,0.0029
791.2,0.0028
791.1,0.0023
791.0,0.0031
790.9,0.0031
790.8,0.0027
790.7,0.0032
790.6,0.0031
790.5,0.0022
790.4,0.0020
790.3,0.0031
790.2,0.0038
790.1,0.0035
790.0,0.0034
789.9,0.0027
789.8,0.0023
789.7,0.0019
789.6,0.0017
789.5,0.0029
789.4,0.0032
789.3,0.0025
789.2,0.0027
789.1,0.0036
789.0,0.0032
788.9,0.0022
788.8,0.0029
788.7,0.0029
788.6,0.0022
788.5,0.0019
788.4,0.0021
788.3,0.0028
788.2,0.0026
788.1,0.0024
788.0,0.0024
787.9,0.0021
787.8,0.0023
787.7,0.0026
787.6,0.0026
787.5,0.0035
787.4,0.0037
787.3,0.0027
787.2,0.0027
787.1,0.0028
787.0,0.0028
786.9,0.0026
786.8,0.0021
786.7,0.0022
786.6,0.0021
786.5,0.0024
786.4,0.0022
786.3,0.0025
786.2,0.0025
786.1,0.0023
786.0,0.0022
785.9,0.0023
785.8,0.0026
785.7,0.0020
785.6,0.0021
785.5,0.0027
785.4,0.0026
785.3,0.0025
785.2,0.0021
785.1,0.0026
785.0,0.0020
784.9,0.0021
784.8,0.0026
784.7,0.0021
784.6,0.0029
784.5,0.0028
784.4,0.0027
784.3,0.0021
784.2,0.0024
784.1,0.0026
784.0,0.0029
783.9,0.0029
783.8,0.0027
783.7,0.0025
783.6,0.0025
783.5,0.0027
783.4,0.0033
783.3,0.0023
783.2,0.0028
783.1,0.0035
783.0,0.0035
782.9,0.0024
782.8,0.0029
782.7,0.0030
782.6,0.0027
782.5,0.0028
782.4,0.0038
782.3,0.0033
782.2,0.0024
782.1,0.0026
782.0,0.0033
781.9,0.0030
781.8,0.0028
781.7,0.0027
781.6,0.0019
781.5,0.0014
781.4,0.0017
781.3,0.0033
781.2,0.0027
781.1,0.0024
781.0,0.0022
780.9,0.0024
780.8,0.0022
780.7,0.0026
780.6,0.0030
780.5,0.0028
780.4,0.0031
780.3,0.0021
780.2,0.0022
780.1,0.0037
780.0,0.0023
779.9,0.0029
779.8,0.0031
779.7,0.0019
779.6,0.0025
779.5,0.0027
779.4,0.0029
779.3,0.0028
779.2,0.0034
779.1,0.0027
779.0,0.0028
778.9,0.0033
778.8,0.0032
778.7,0.0023
778.6,0.0023
778.5,0.0029
778.4,0.0023
778.3,0.0023
778.2,0.0038
778.1,0.0026
778.0,0.0023
777.9,0.0027
777.8,0.0021
777.7,0.0023
777.6,0.0026
777.5,0.0021
777.4,0.0031
777.3,0.0029
777.2,0.0030
777.1,0.0032
777.0,0.0035
776.9,0.0036
776.8,0.0030
776.7,0.0031
776.6,0.0035
776.5,0.0027
776.4,0.0033
776.3,0.0028
776.2,0.0031
776.1,0.0019
776.0,0.0026
775.9,0.0028
775.8,0.0038
775.7,0.0030
775.6,0.0028
775.5,0.0030
775.4,0.0032
775.3,0.0036
775.2,0.0033
775.1,0.0033
775.0,0.0036
774.9,0.0035
774.8,0.0030
774.7,0.0036
774.6,0.0039
774.5,0.0034
774.4,0.0022
774.3,0.0035
774.2,0.0031
774.1,0.0032
774.0,0.0032
773.9,0.0016
773.8,0.0034
773.7,0.0039
773.6,0.0028
773.5,0.0031
773.4,0.0027
773.3,0.0035
773.2,0.0036
773.1,0.0036
773.0,0.0032
772.9,0.0032
772.8,0.0030
772.7,0.0025
772.6,0.0027
772.5,0.0029
772.4,0.0029
772.3,0.0032
772.2,0.0031
772.1,0.0027
772.0,0.0031
771.9,0.0027
771.8,0.0033
771.7,0.0031
771.6,0.0029
771.5,0.0028
771.4,0.0027
771.3,0.0032
771.2,0.0032
771.1,0.0030
771.0,0.0032
770.9,0.0023
770.8,0.0035
770.7,0.0038
770.6,0.0038
770.5,0.0031
770.4,0.0026
770.3,0.0031
770.2,0.0031
770.1,0.0044
770.0,0.0045
769.9,0.0036
769.8,0.0032
769.7,0.0034
769.6,0.0026
769.5,0.0032
769.4,0.0034
769.3,0.0031
769.2,0.0034
769.1,0.0032
769.0,0.0034
768.9,0.0034
768.8,0.0031
768.7,0.0037
768.6,0.0029
768.5,0.0025
768.4,0.0029
768.3,0.0028
768.2,0.0022
768.1,0.0026
768.0,0.0031
767.9,0.0029
767.8,0.0031
767.7,0.0036
767.6,0.0035
767.5,0.0036
767.4,0.0040
767.3,0.0035
767.2,0.0031
767.1,0.0026
767.0,0.0022
766.9,0.0028
766.8,0.0032
766.7,0.0028
766.6,0.0034
766.5,0.0032
766.4,0.0030
766.3,0.0031
766.2,0.0027
766.1,0.0028
766.0,0.0029
765.9,0.0032
765.8,0.0035
765.7,0.0028
765.6,0.0030
765.5,0.0040
765.4,0.0036
765.3,0.0034
765.2,0.0041
765.1,0.0040
765.0,0.0035
764.9,0.0031
764.8,0.0030
764.7,0.0029
764.6,0.0029
764.5,0.0029
764.4,0.0034
764.3,0.0032
764.2,0.0027
764.1,0.0027
764.0,0.0029
763.9,0.0030
763.8,0.0032
763.7,0.0033
763.6,0.0026
763.5,0.0029
763.4,0.0034
763.3,0.0038
763.2,0.0035
763.1,0.0032
763.0,0.0036
762.9,0.0032
762.8,0.0029
762.7,0.0033
762.6,0.0031
762.5,0.0034
762.4,0.0040
762.3,0.0039
762.2,0.0035
762.1,0.0032
762.0,0.0039
