Created as New Dataset,
nm,A
800.0,0.0081
799.9,0.0081
799.8,0.0079
799.7,0.0083
799.6,0.0086
799.5,0.0074
799.4,0.0087
799.3,0.0077
799.2,0.0081
799.1,0.0073
799.0,0.0084
798.9,0.0070
798.8,0.0080
798.7,0.0089
798.6,0.0069
798.5,0.0075
798.4,0.0084
798.3,0.0090
798.2,0.0071
798.1,0.0072
798.0,0.0084
797.9,0.0072
797.8,0.0089
797.7,0.0076
797.6,0.0070
797.5,0.0079
797.4,0.0082
797.3,0.0076
797.2,0.0086
797.1,0.0088
797.0,0.0085
796.9,0.0077
796.8,0.0083
796.7,0.0086
796.6,0.0084
796.5,0.0075
796.4,0.0084
796.3,0.0084
796.2,0.0078
796.1,0.0086
796.0,0.0089
795.9,0.0086
795.8,0.0088
795.7,0.0093
795.6,0.0077
795.5,0.0073
795.4,0.0072
795.3,0.0079
795.2,0.0086
795.1,0.0083
795.0,0.0082
794.9,0.0081
794.8,0.0075
794.7,0.0076
794.6,0.0079
794.5,0.0074
794.4,0.0078
794.3,0.0086
794.2,0.0079
794.1,0.0077
794.0,0.0076
793.9,0.0086
793.8,0.0088
793.7,0.0087
793.6,0.0086
793.5,0.0078
793.4,0.0071
793.3,0.0080
793.2,0.0083
793.1,0.0080
793.0,0.0079
792.9,0.0082
792.8,0.0078
792.7,0.0077
792.6,0.0079
792.5,0.0069
792.4,0.0081
792.3,0.0084
792.2,0.0086
792.1,0.0078
792.0,0.0082
791.9,0.0088
791.8,0.0082
791.7,0.0077
791.6,0.0078
791.5,0.0072
791.4,0.0072
791.3,0.0076
791.2,0.0086
791.1,0.0086
791.0,0.0088
790.9,0.0081
790.8,0.0078
790.7,0.0089
790.6,0.0090
790.5,0.0086
790.4,0.0075
790.3,0.0081
790.2,0.0093
790.1,0.0091
790.0,0.0092
789.9,0.0082
789.8,0.0076
789.7,0.0076
789.6,0.0077
789.5,0.0084
789.4,0.0084
789.3,0.0081
789.2,0.0085
789.1,0.0096
789.0,0.0092
788.9,0.0076
788.8,0.0079
788.7,0.0085
788.6,0.0082
788.5,0.0083
788.4,0.0084
788.3,0.0082
788.2,0.0082
788.1,0.0079
788.0,0.0079
787.9,0.0082
787.8,0.0088
787.7,0.0087
787.6,0.0085
787.5,0.0089
787.4,0.0084
787.3,0.0082
787.2,0.0085
787.1,0.0082
787.0,0.0084
786.9,0.0084
786.8,0.0086
786.7,0.0086
786.6,0.0086
786.5,0.0083
786.4,0.0082
786.3,0.0084
786.2,0.0084
786.1,0.0079
786.0,0.0075
785.9,0.0078
785.8,0.0078
785.7,0.0072
785.6,0.0078
785.5,0.0083
785.4,0.0083
785.3,0.0082
785.2,0.0076
785.1,0.0076
785.0,0.0071
784.9,0.0078
784.8,0.0091
784.7,0.0073
784.6,0.0077
784.5,0.0080
784.4,0.0089
784.3,0.0082
784.2,0.0079
784.1,0.0087
784.0,0.0089
783.9,0.0084
783.8,0.0088
783.7,0.0086
783.6,0.0089
783.5,0.0090
783.4,0.0089
783.3,0.0084
783.2,0.0081
783.1,0.0091
783.0,0.0089
782.9,0.0074
782.8,0.0077
782.7,0.0079
782.6,0.0087
782.5,0.0086
782.4,0.0076
782.3,0.0078
782.2,0.0080
782.1,0.0083
782.0,0.0093
781.9,0.0091
781.8,0.0095
781.7,0.0084
781.6,0.0080
781.5,0.0075
781.4,0.0079
781.3,0.0082
781.2,0.0076
781.1,0.0086
781.0,0.0080
780.9,0.0086
780.8,0.0078
780.7,0.0082
780.6,0.0085
780.5,0.0084
780.4,0.0083
780.3,0.0073
780.2,0.0079
780.1,0.0089
780.0,0.0088
779.9,0.0096
779.8,0.0085
779.7,0.0082
779.6,0.0090
779.5,0.0082
779.4,0.0097
779.3,0.0086
779.2,0.0087
779.1,0.0088
779.0,0.0092
778.9,0.0082
778.8,0.0088
778.7,0.0089
778.6,0.0083
778.5,0.0091
778.4,0.0081
778.3,0.0079
778.2,0.0098
778.1,0.0076
778.0,0.0080
777.9,0.0081
777.8,0.0085
777.7,0.0064
777.6,0.0084
777.5,0.0084
777.4,0.0091
777.3,0.0082
777.2,0.0091
777.1,0.0087
777.0,0.0087
776.9,0.0081
776.8,0.0086
776.7,0.0082
776.6,0.0090
776.5,0.0076
776.4,0.0082
776.3,0.0086
776.2,0.0078
776.1,0.0079
776.0,0.0077
775.9,0.0077
775.8,0.0089
775.7,0.0084
775.6,0.0081
775.5,0.0089
775.4,0.0080
775.3,0.0099
775.2,0.0084
775.1,0.0092
775.0,0.0075
774.9,0.0090
774.8,0.0083
774.7,0.0082
774.6,0.0092
774.5,0.0092
774.4,0.0083
774.3,0.0093
774.2,0.0088
774.1,0.0079
774.0,0.0081
773.9,0.0079
773.8,0.0084
773.7,0.0083
773.6,0.0075
773.5,0.0086
773.4,0.0088
773.3,0.0087
773.2,0.0089
773.1,0.0096
773.0,0.0091
772.9,0.0086
772.8,0.0085
772.7,0.0083
772.6,0.0084
772.5,0.0083
772.4,0.0085
772.3,0.0084
772.2,0.0087
772.1,0.0090
772.0,0.0085
771.9,0.0079
771.8,0.0092
771.7,0.0091
771.6,0.0082
771.5,0.0088
771.4,0.0085
771.3,0.0081
