Created as New Dataset,
nm,A
800.0,-0.0133
799.9,-0.0140
799.8,-0.0146
799.7,-0.0148
799.6,-0.0142
799.5,-0.0145
799.4,-0.0128
799.3,-0.0126
799.2,-0.0142
799.1,-0.0161
799.0,-0.0138
798.9,-0.0163
798.8,-0.0139
798.7,-0.0142
798.6,-0.0148
798.5,-0.0151
798.4,-0.0136
798.3,-0.0133
798.2,-0.0143
798.1,-0.0151
798.0,-0.0139
797.9,-0.0150
797.8,-0.0128
797.7,-0.0143
797.6,-0.0153
797.5,-0.0155
797.4,-0.0149
797.3,-0.0139
797.2,-0.0133
797.1,-0.0139
797.0,-0.0143
796.9,-0.0158
796.8,-0.0149
796.7,-0.0137
796.6,-0.0132
796.5,-0.0137
796.4,-0.0132
796.3,-0.0143
796.2,-0.0150
796.1,-0.0142
796.0,-0.0141
795.9,-0.0147
795.8,-0.0147
795.7,-0.0150
795.6,-0.0160
795.5,-0.0158
795.4,-0.0157
795.3,-0.0156
795.2,-0.0153
795.1,-0.0159
795.0,-0.0153
794.9,-0.0156
794.8,-0.0162
794.7,-0.0155
794.6,-0.0146
794.5,-0.0149
794.4,-0.0161
794.3,-0.0155
794.2,-0.0151
794.1,-0.0153
794.0,-0.0153
793.9,-0.0149
793.8,-0.0156
793.7,-0.0162
793.6,-0.0154
793.5,-0.0166
793.4,-0.0171
793.3,-0.0162
793.2,-0.0159
793.1,-0.0158
793.0,-0.0164
792.9,-0.0167
792.8,-0.0166
792.7,-0.0169
792.6,-0.0169
792.5,-0.0171
792.4,-0.0163
792.3,-0.0160
792.2,-0.0164
792.1,-0.0174
792.0,-0.0171
791.9,-0.0165
791.8,-0.0170
791.7,-0.0182
791.6,-0.0178
791.5,-0.0182
791.4,-0.0182
791.3,-0.0173
791.2,-0.0176
791.1,-0.0181
791.0,-0.0175
790.9,-0.0176
790.8,-0.0175
790.7,-0.0173
790.6,-0.0178
790.5,-0.0186
790.4,-0.0186
790.3,-0.0178
790.2,-0.0172
790.1,-0.0174
790.0,-0.0170
789.9,-0.0180
789.8,-0.0187
789.7,-0.0188
789.6,-0.0191
789.5,-0.0181
789.4,-0.0178
789.3,-0.0188
789.2,-0.0189
789.1,-0.0185
789.0,-0.0187
788.9,-0.0193
788.8,-0.0195
788.7,-0.0195
788.6,-0.0196
788.5,-0.0198
788.4,-0.0197
788.3,-0.0192
788.2,-0.0195
788.1,-0.0196
788.0,-0.0191
787.9,-0.0194
787.8,-0.0190
787.7,-0.0188
787.6,-0.0192
787.5,-0.0189
787.4,-0.0190
787.3,-0.0195
787.2,-0.0191
787.1,-0.0187
787.0,-0.0189
786.9,-0.0190
786.8,-0.0192
786.7,-0.0196
786.6,-0.0200
786.5,-0.0204
786.4,-0.0199
786.3,-0.0194
786.2,-0.0195
786.1,-0.0204
786.0,-0.0202
785.9,-0.0196
785.8,-0.0202
785.7,-0.0208
785.6,-0.0203
785.5,-0.0199
785.4,-0.0205
785.3,-0.0201
785.2,-0.0201
785.1,-0.0196
785.0,-0.0212
784.9,-0.0208
784.8,-0.0203
784.7,-0.0210
784.6,-0.0204
784.5,-0.0199
784.4,-0.0197
784.3,-0.0197
784.2,-0.0204
784.1,-0.0200
784.0,-0.0202
783.9,-0.0196
783.8,-0.0195
783.7,-0.0201
783.6,-0.0200
783.5,-0.0201
783.4,-0.0196
783.3,-0.0203
783.2,-0.0199
783.1,-0.0200
783.0,-0.0195
782.9,-0.0199
782.8,-0.0206
782.7,-0.0204
782.6,-0.0208
782.5,-0.0202
782.4,-0.0196
782.3,-0.0196
782.2,-0.0204
782.1,-0.0207
782.0,-0.0199
781.9,-0.0196
781.8,-0.0186
781.7,-0.0205
781.6,-0.0204
781.5,-0.0211
781.4,-0.0209
781.3,-0.0192
781.2,-0.0199
781.1,-0.0203
781.0,-0.0204
780.9,-0.0203
780.8,-0.0203
780.7,-0.0200
780.6,-0.0201
780.5,-0.0204
780.4,-0.0198
780.3,-0.0203
780.2,-0.0203
780.1,-0.0198
780.0,-0.0196
779.9,-0.0192
779.8,-0.0194
779.7,-0.0205
779.6,-0.0206
779.5,-0.0194
779.4,-0.0195
779.3,-0.0198
779.2,-0.0193
779.1,-0.0200
